UID          PID    PPID  C STIME TTY          TIME CMD
root           1       0  0 16:42 ?        00:00:02 /sbin/init
root           2       0  0 16:42 ?        00:00:00 [kthreadd]
root           3       2  0 16:42 ?        00:00:00 [rcu_gp]
root           4       2  0 16:42 ?        00:00:00 [rcu_par_gp]
root           5       2  0 16:42 ?        00:00:00 [slub_flushwq]
root           6       2  0 16:42 ?        00:00:00 [netns]
root           8       2  0 16:42 ?        00:00:00 [kworker/0:0H-events_highpri]
root          10       2  0 16:42 ?        00:00:00 [mm_percpu_wq]
root          11       2  0 16:42 ?        00:00:00 [rcu_tasks_rude_]
root          12       2  0 16:42 ?        00:00:00 [rcu_tasks_trace]
root          13       2  0 16:42 ?        00:00:00 [ksoftirqd/0]
root          14       2  0 16:42 ?        00:00:05 [rcu_sched]
root          15       2  0 16:42 ?        00:00:00 [migration/0]
root          16       2  0 16:42 ?        00:00:00 [idle_inject/0]
root          18       2  0 16:42 ?        00:00:00 [cpuhp/0]
root          19       2  0 16:42 ?        00:00:00 [cpuhp/1]
root          20       2  0 16:42 ?        00:00:00 [idle_inject/1]
root          21       2  0 16:42 ?        00:00:00 [migration/1]
root          22       2  0 16:42 ?        00:00:00 [ksoftirqd/1]
root          24       2  0 16:42 ?        00:00:00 [kworker/1:0H-events_highpri]
root          25       2  0 16:42 ?        00:00:00 [cpuhp/2]
root          26       2  0 16:42 ?        00:00:00 [idle_inject/2]
root          27       2  0 16:42 ?        00:00:00 [migration/2]
root          28       2  0 16:42 ?        00:00:00 [ksoftirqd/2]
root          30       2  0 16:42 ?        00:00:00 [kworker/2:0H-events_highpri]
root          31       2  0 16:42 ?        00:00:00 [cpuhp/3]
root          32       2  0 16:42 ?        00:00:00 [idle_inject/3]
root          33       2  0 16:42 ?        00:00:00 [migration/3]
root          34       2  0 16:42 ?        00:00:00 [ksoftirqd/3]
root          36       2  0 16:42 ?        00:00:00 [kworker/3:0H-events_highpri]
root          37       2  0 16:42 ?        00:00:00 [cpuhp/4]
root          38       2  0 16:42 ?        00:00:00 [idle_inject/4]
root          39       2  0 16:42 ?        00:00:00 [migration/4]
root          40       2  0 16:42 ?        00:00:00 [ksoftirqd/4]
root          42       2  0 16:42 ?        00:00:00 [kworker/4:0H-events_highpri]
root          43       2  0 16:42 ?        00:00:00 [kdevtmpfs]
root          44       2  0 16:42 ?        00:00:00 [inet_frag_wq]
root          45       2  0 16:42 ?        00:00:00 [kworker/1:1-mm_percpu_wq]
root          49       2  0 16:42 ?        00:00:00 [kauditd]
root          50       2  0 16:42 ?        00:00:00 [khungtaskd]
root          51       2  0 16:42 ?        00:00:00 [oom_reaper]
root          52       2  0 16:42 ?        00:00:00 [writeback]
root          53       2  0 16:42 ?        00:00:01 [kcompactd0]
root          54       2  0 16:42 ?        00:00:00 [ksmd]
root          55       2  0 16:42 ?        00:00:00 [khugepaged]
root         101       2  0 16:42 ?        00:00:00 [kintegrityd]
root         102       2  0 16:42 ?        00:00:00 [kblockd]
root         103       2  0 16:42 ?        00:00:00 [blkcg_punt_bio]
root         104       2  0 16:42 ?        00:00:00 [tpm_dev_wq]
root         105       2  0 16:42 ?        00:00:00 [ata_sff]
root         106       2  0 16:42 ?        00:00:00 [md]
root         107       2  0 16:42 ?        00:00:00 [edac-poller]
root         108       2  0 16:42 ?        00:00:00 [devfreq_wq]
root         109       2  0 16:42 ?        00:00:00 [watchdogd]
root         111       2  0 16:42 ?        00:00:00 [kworker/1:1H-kblockd]
root         112       2  0 16:42 ?        00:00:00 [kswapd0]
root         113       2  0 16:42 ?        00:00:00 [ecryptfs-kthrea]
root         115       2  0 16:42 ?        00:00:00 [kthrotld]
root         116       2  0 16:42 ?        00:00:00 [irq/49-ACPI:Ged]
root         117       2  0 16:42 ?        00:00:00 [acpi_thermal_pm]
root         119       2  0 16:42 ?        00:00:00 [mld]
root         120       2  0 16:42 ?        00:00:00 [ipv6_addrconf]
root         129       2  0 16:42 ?        00:00:00 [kstrp]
root         132       2  0 16:42 ?        00:00:00 [zswap-shrink]
root         133       2  0 16:42 ?        00:00:00 [kworker/u11:0]
root         137       2  0 16:42 ?        00:00:00 [cryptd]
root         169       2  0 16:42 ?        00:00:00 [charger_manager]
root         193       2  0 16:42 ?        00:00:00 [kworker/4:1H-kblockd]
root         223       2  0 16:42 ?        00:00:00 [hwrng]
root         233       2  0 16:42 ?        00:00:00 [kworker/3:1H-kblockd]
root         242       2  0 16:42 ?        00:00:00 [kworker/2:1H-kblockd]
root         243       2  0 16:42 ?        00:00:00 [kworker/0:1H-kblockd]
root         298       2  0 16:42 ?        00:00:00 [kdmflush]
root         327       2  0 16:42 ?        00:00:00 [raid5wq]
